priority,tier,name,category,village,phone,website,budget,authority,need,timeline,sources
"100","HOT","Bourgeois Kenny DDS","dentist","Tamuning","(671) 646-2010","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Cheng, Victoria DMD","dentist","","(671) 649-7851","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Eusebio Andrew DDS","dentist","Chalan Pago Ordot","(671) 477-8215","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Family Dental Center","dentist","Tamuning","(671) 646-6510","","High","Owner","High","TBD","guamphonebook.com+https://www.eguamdirectory.com"
"100","HOT","Hafa Adai Family Dental, PC","dentist","Tamuning","(671) 649-7851","","High","Owner","High","TBD","guamphonebook.com+https://www.eguamdirectory.com"
"100","HOT","ISA Dental","dentist","Hagatna","(671) 646-7982","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Johnson, Jeffrey C., DDS","dentist","","(671) 646-7982","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Kaneshiro, Roger J., D.D.S. M.S., INC.","dentist","Tamuning","(671) 646-9890","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Lee, Thomas K. DDS","dentist","Tamuning","(671) 969-8533","","High","Owner","High","TBD","guamphonebook.com+https://www.eguamdirectory.com"
"100","HOT","Malilay, Janice P., DDS","dentist","","(671) 646-6510","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Mangilao Dental Clinic - Joon Ha, DDS","dentist","Mangilao","(671) 969-4242","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Ordot Dental Clinic","dentist","Chalan Pago Ordot","(671) 477-8215","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Rapadas, Antonio M DDS","dentist","Chalan Pago Ordot","(671) 477-8215","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","Sauget, Earl, DDS, MSD","dentist","Tamuning","(671) 646-7846","","High","Owner","High","TBD","guamphonebook.com"
"100","HOT","A/C Doctor","air conditioning repair","","(671) 777-6461","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","ACR Electrical/Mechanical","air conditioning contractor","","(671) 632-5259","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Best, Inc.","drilling contractor","Tamuning","(671) 648-2378","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Island Eye Center","eye clinic","Tamuning","(671) 647-5381","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Family Dentistry","dentist","","(671) 472-2489","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Fernandez Michael A DDS","dentist","","(671) 633-1995","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Gentlecare Dental Associates PC","dentist","Tamuning","(671) 646-8858","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Guam Dental Arts","dentist","","(671) 646-8462","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Kaneshiro, Roger J., D.D.S.","dentist","Upper Tumon","(671) 646-9890","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","HSG Co., Ltd","general contractor","Tamuning","(671) 300-7695","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Nippo Corporation","general contractor","","(671) 653-7077","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","SE Construction Corporation","general contractor","Harmon","(671) 646-9098","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Techni-Con","general contractor","","(671) 734-8808","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Bascon Corporation","general contractor","Hagatna","(671) 477-6071","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Base Corporation","general contractor","Barrigada","(671) 637-4065","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Custom Mechanical System Corp","general contractor","","(671) 646-3779","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Enviro Pros","general contractor","Tamuning","(671) 777-8187","","High","Owner","High","TBD","https://www.eguamdirectory.com"
"100","HOT","Jack & Sons","general contractor","","(671) 898-4217","","High","Owner","High","TBD","https://www.eguamdirectory.com"
